barcode	percentage_success
3	92.3076923076923
4	61.53846153846154
5	84.61538461538461
13	92.3076923076923
14	69.23076923076923
16	92.3076923076923
17	92.3076923076923
18	69.23076923076923
21	92.3076923076923
22	69.23076923076923
23	76.92307692307693
27	92.3076923076923
29	76.92307692307693
30	84.61538461538461
32	84.61538461538461
39	76.92307692307693
44	61.53846153846154
51	84.61538461538461
54	53.84615384615385
55	53.84615384615385
60	84.61538461538461
63	92.3076923076923
66	92.3076923076923
68	84.61538461538461
71	76.92307692307693
74	84.61538461538461
77	84.61538461538461
78	84.61538461538461
79	92.3076923076923
82	69.23076923076923
85	76.92307692307693
87	76.92307692307693
88	76.92307692307693
90	69.23076923076923
91	84.61538461538461
92	84.61538461538461
103	84.61538461538461
104	92.3076923076923
105	92.3076923076923
107	84.61538461538461
111	92.3076923076923
112	84.61538461538461
113	92.3076923076923
114	92.3076923076923
120	84.61538461538461
125	92.3076923076923
129	69.23076923076923
134	92.3076923076923
135	76.92307692307693
136	69.23076923076923
143	69.23076923076923
148	76.92307692307693
149	84.61538461538461
172	76.92307692307693
175	84.61538461538461
185	84.61538461538461
187	84.61538461538461
188	92.3076923076923
201	76.92307692307693
209	92.3076923076923
214	92.3076923076923
218	92.3076923076923
233	92.3076923076923
245	84.61538461538461
249	76.92307692307693
252	92.3076923076923
259	84.61538461538461
264	92.3076923076923
307	76.92307692307693
313	92.3076923076923
349	84.61538461538461
364	84.61538461538461
367	76.92307692307693
380	92.3076923076923
393	92.3076923076923
395	92.3076923076923
396	84.61538461538461
397	84.61538461538461
400	76.92307692307693
402	84.61538461538461
404	92.3076923076923
407	92.3076923076923
408	92.3076923076923
410	92.3076923076923
412	84.61538461538461
413	92.3076923076923
416	84.61538461538461
422	92.3076923076923
429	84.61538461538461
431	84.61538461538461
433	92.3076923076923
437	92.3076923076923
441	92.3076923076923
444	76.92307692307693
446	84.61538461538461
449	84.61538461538461
