sample_ID,barcode,gene,polymerase,pass_fail,size_or_fail_peak1,size_or_fail_peak2,conc_or_fail_peak1,conc_or_fail_peak2
3043,4,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2775,14,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
5605,18,DRB1,GoTaq,PASSED,14492,16272,5.0348,5.6393
4732,21,DRB1,GoTaq,PASSED,12289,16611,7.7916,2.6937
1563,23,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2820,29,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
4034,32,DRB1,GoTaq,PASSED,15000,No second peak,21.5635,No second peak
4009,39,DRB1,GoTaq,PASSED,15085,No second peak,5.3688,No second peak
4778,44,DRB1,GoTaq,PASSED,16187,No second peak,7.5124,No second peak
2699,54,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2746,55,DRB1,GoTaq,PASSED,8526,No second peak,0.1487,No second peak
5078,60,DRB1,GoTaq,PASSED,12713,15848,2.3519,3.3059
3110,66,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1509,71,DRB1,GoTaq,PASSED,17458,No second peak,0.3306,No second peak
3045,82,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2672,85,DRB1,GoTaq,PASSED,13221,No second peak,0.4989,No second peak
3989,88,DRB1,GoTaq,PASSED,11950,15255,6.2281,2.0593
4050,90,DRB1,GoTaq,PASSED,11780,16272,17.8023,3.7568
1518,91,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
4313,103,DRB1,GoTaq,PASSED,11611,15509,17.3081,14.7911
3891,107,DRB1,GoTaq,PASSED,11357,16102,22.7592,6.9968
3311,112,DRB1,GoTaq,PASSED,14153,15594,6.2907,13.3767
2776,113,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1309,120,DRB1,GoTaq,PASSED,12713,12713,5.6596,5.6596
1680,125,DRB1,GoTaq,PASSED,10764,15255,26.5139,16.2148
1311,129,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2735,143,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1517,148,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3231,149,DRB1,GoTaq,PASSED,12204,15678,3.3411,0.3725
1629,172,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3077,175,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1490,185,DRB1,GoTaq,PASSED,14407,No second peak,13.7226,No second peak
3576,187,DRB1,GoTaq,PASSED,10083,14673,81.3493,34.1924
2900,188,DRB1,GoTaq,PASSED,10083,14591,49.9851,18.2262
3108,201,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3795,209,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
4373,214,DRB1,GoTaq,PASSED,10329,13771,58.3708,35.5854
3011,218,DRB1,GoTaq,PASSED,13771,No second peak,62.7408,No second peak
3143,233,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1530,245,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3945,249,DRB1,GoTaq,PASSED,13361,17869,28.7863,5.5528
3000,252,DRB1,GoTaq,PASSED,11148,15656,39.1503,8.5213
2717,259,DRB1,GoTaq,PASSED,12378,No second peak,0.6286,No second peak
2700,264,DRB1,GoTaq,PASSED,15000,No second peak,0.5803,No second peak
2734,307,DRB1,GoTaq,PASSED,11722,No second peak,1.4447,No second peak
3942,313,DRB1,GoTaq,PASSED,11148,14427,31.7353,26.5483
1537,349,DRB1,GoTaq,PASSED,12214,No second peak,1.0687,No second peak
1491,364,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3029,367,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3023,380,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
4371,393,DRB1,GoTaq,PASSED,9700,13279,91.2968,58.1059
3024,395,DRB1,GoTaq,PASSED,14345,19180,27.9665,6.0034
2671,396,DRB1,GoTaq,PASSED,12214,No second peak,2.7147,No second peak
4012,397,DRB1,GoTaq,PASSED,12378,17295,55.116,10.7169
3929,400,DRB1,GoTaq,PASSED,10985,13607,32.9099,25.9833
1604,402,DRB1,GoTaq,PASSED,9650,12460,86.0291,49.6741
3933,404,DRB1,GoTaq,PASSED,13525,18033,12.7428,2.6755
5657,407,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2897,408,DRB1,GoTaq,PASSED,10247,13525,59.8114,41.4322
2420,410,DRB1,GoTaq,PASSED,10411,13443,61.1199,64.9481
1453,412,DRB1,GoTaq,PASSED,10329,15164,64.1885,13.3525
342,413,DRB1,GoTaq,PASSED,8900,No second peak,0.2054,No second peak
1697,416,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
921,422,DRB1,GoTaq,PASSED,13771,18525,41.0527,9.7092
1915,429,DRB1,GoTaq,PASSED,11103,13814,18.8254,12.2921
1771,431,DRB1,GoTaq,PASSED,14238,No second peak,25.5684,No second peak
2379,433,DRB1,GoTaq,PASSED,12713,17712,28.6548,7.5055
1722,437,DRB1,GoTaq,PASSED,12797,No second peak,33.2335,No second peak
1323,441,DRB1,GoTaq,PASSED,13645,18390,20.9002,4.3909
1415,444,DRB1,GoTaq,PASSED,12458,No second peak,5.1117,No second peak
1461,446,DRB1,GoTaq,PASSED,14323,15678,4.7193,10.2997
1215,449,DRB1,GoTaq,PASSED,10170,13390,33.3566,20.2435
1859,4,DRB1,GoTaq,PASSED,13279,17541,31.9413,9.3205
5365,14,DRB1,GoTaq,PASSED,15656,18853,9.3379,2.8394
2869,18,DRB1,GoTaq,PASSED,13771,17705,38.5943,2.5085
2335,21,DRB1,GoTaq,PASSED,10821,13361,31.1783,23.9784
1640,23,DRB1,GoTaq,PASSED,12870,17049,74.9666,14.228
1326,29,DRB1,GoTaq,PASSED,10821,13771,38.6936,41.8195
1372,32,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
720,39,DRB1,GoTaq,PASSED,13033,17623,39.7948,7.6014
1398,44,DRB1,GoTaq,PASSED,15509,No second peak,6.8638,No second peak
1230,54,DRB1,GoTaq,PASSED,11187,14153,20.9143,22.6909
1948,55,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
4772,60,DRB1,GoTaq,PASSED,11148,14427,23.3447,37.3093
1578,66,DRB1,GoTaq,PASSED,10985,13853,40.9719,49.1774
1304,71,DRB1,GoTaq,PASSED,14017,18279,25.2778,11.4444
1265,82,DRB1,GoTaq,PASSED,13984,18305,17.8347,5.6238
700,85,DRB1,GoTaq,PASSED,11272,13729,14.3404,16.2218
3043,44,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2775,54,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1563,55,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2820,60,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
4778,66,DRB1,Verifi,PASSED,13509,No second peak,28.2564,No second peak
2699,71,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2746,82,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
5078,85,DRB1,Verifi,PASSED,11755,No second peak,5.6377,No second peak
3110,88,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1509,90,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
3045,91,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2672,103,DRB1,Verifi,PASSED,13698,No second peak,0.7734,No second peak
1518,107,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2776,112,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1311,113,DRB1,Verifi,PASSED,12106,No second peak,0.9753,No second peak
2735,120,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1517,125,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
3231,129,DRB1,Verifi,PASSED,13278,No second peak,2.4011,No second peak
1629,143,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
3077,148,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
3108,149,DRB1,Verifi,PASSED,15176,No second peak,0.3681,No second peak
3795,172,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
3143,175,DRB1,Verifi,PASSED,12545,No second peak,0.366,No second peak
2717,185,DRB1,Verifi,PASSED,12369,No second peak,1.7054,No second peak
2700,187,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2734,188,DRB1,Verifi,PASSED,14034,No second peak,0.1361,No second peak
1537,201,DRB1,Verifi,PASSED,14286,16975,0.6497,0.2404
3029,209,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
3023,214,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2671,218,DRB1,Verifi,PASSED,12369,15264,2.9674,0.235
5657,233,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
342,245,DRB1,Verifi,PASSED,13246,15351,1.7054,19.1633
1697,249,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1415,252,DRB1,Verifi,PASSED,13278,No second peak,5.7293,No second peak
1372,259,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1398,264,DRB1,Verifi,PASSED,12102,16891,22.3159,2.9262
1948,307,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1390,313,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1935,349,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2375,364,DRB1,Verifi,PASSED,12194,No second peak,3.5763,No second peak
1925,367,DRB1,Verifi,PASSED,14622,No second peak,18.9488,No second peak
1586,380,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1889,393,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1792,395,DRB1,Verifi,PASSED,12354,17311,21.9724,2.2749
3039,396,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2745,397,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
5090,400,DRB1,Verifi,PASSED,13509,No second peak,27.1937,No second peak
3078,402,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2726,404,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
3109,407,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2603,408,DRB1,Verifi,PASSED,14370,No second peak,22.1416,No second peak
3539,410,DRB1,Verifi,PASSED,13509,No second peak,21.8402,No second peak
2512,412,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1229,413,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
5001,416,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2188,422,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
5085,429,DRB1,Verifi,PASSED,17227,No second peak,5.4964,No second peak
2108,431,DRB1,Verifi,PASSED,15439,No second peak,13.8256,No second peak
4731,433,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2994,437,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2242,441,DRB1,Verifi,PASSED,14454,No second peak,18.2393,No second peak
1254,444,DRB1,Verifi,PASSED,14202,15883,0.8236,15.736
5235,446,DRB1,Verifi,PASSED,15295,No second peak,10.167,No second peak
2091,449,DRB1,Verifi,PASSED,15043,No second peak,17.3236,No second peak
0,449,DRB1,,FAILED,FAILED,FAILED,FAILED,FAILED
0,449,DRB1,,FAILED,FAILED,FAILED,FAILED,FAILED
1267,449,DRB1,Verifi,PASSED,9018,13597,0.8053,30.0366
1872,4,DRB1,GoTaq,PASSED,15538,No second peak,17.7987,No second peak
1617,14,DRB1,GoTaq,PASSED,11902,15620,12.599,13.0508
2375,18,DRB1,GoTaq,PASSED,12645,16281,2.4729,1.0163
1457,21,DRB1,GoTaq,PASSED,12232,16777,12.805,2.4192
1464,23,DRB1,GoTaq,PASSED,10332,13968,30.2827,22.4703
1787,29,DRB1,GoTaq,PASSED,11241,14877,24.5584,17.322
571,32,DRB1,GoTaq,PASSED,13554,14959,0.6173,16.5793
2885,39,DRB1,GoTaq,PASSED,11406,16033,24.8806,12.47
1925,44,DRB1,GoTaq,PASSED,15620,No second peak,6.6625,No second peak
1842,54,DRB1,GoTaq,PASSED,14215,No second peak,31.2362,No second peak
1093,55,DRB1,GoTaq,PASSED,12315,16695,9.239,1.4715
1389,60,DRB1,GoTaq,PASSED,15207,19752,13.87,2.5082
1586,66,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1399,71,DRB1,GoTaq,PASSED,14546,16695,9.1131,5.6344
2863,82,DRB1,GoTaq,PASSED,11571,14629,16.0841,14.7127
1889,85,DRB1,GoTaq,PASSED,13224,No second peak,1.098,No second peak
1860,88,DRB1,GoTaq,PASSED,15207,No second peak,17.1655,No second peak
1838,90,DRB1,GoTaq,PASSED,11158,14298,22.8134,12.8665
1792,91,DRB1,GoTaq,PASSED,12480,15868,3.2207,3.6211
1463,103,DRB1,GoTaq,PASSED,11241,14794,29.809,19.8428
641,107,DRB1,GoTaq,PASSED,14050,No second peak,28.4936,No second peak
1406,112,DRB1,GoTaq,PASSED,14298,No second peak,24.6457,No second peak
5795,113,DRB1,GoTaq,PASSED,10579,14050,31.0744,14.7234
1910,120,DRB1,GoTaq,PASSED,12315,15290,13.2934,5.7417
5048,125,DRB1,GoTaq,PASSED,13802,No second peak,29.4275,No second peak
1276,129,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1667,143,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
5099,148,DRB1,GoTaq,PASSED,13141,14711,1.0596,16.2936
1557,149,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1550,172,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
5084,175,DRB1,GoTaq,PASSED,14050,18843,16.7872,3.151
3039,185,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2745,187,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
5090,188,DRB1,GoTaq,PASSED,15448,No second peak,2.5849,No second peak
3084,201,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3078,209,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2729,214,DRB1,GoTaq,PASSED,14553,16586,8.1026,5.7909
2726,218,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1544,233,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
3109,245,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1663,249,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2298,252,DRB1,GoTaq,PASSED,11952,15122,14.901,11.7753
1813,259,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2870,264,DRB1,GoTaq,PASSED,14635,No second peak,23.0812,No second peak
3541,307,DRB1,GoTaq,PASSED,14635,18862,18.1938,3.5981
2603,313,DRB1,GoTaq,PASSED,15041,16667,2.4862,5.1387
2447,349,DRB1,GoTaq,PASSED,10733,15041,25.9006,10.2427
2107,364,DRB1,GoTaq,PASSED,11952,14310,0.4031,22.1836
4966,367,DRB1,GoTaq,PASSED,11302,14635,18.2766,14.7053
2092,380,DRB1,GoTaq,PASSED,13171,18212,27.0197,5.8188
4985,393,DRB1,GoTaq,PASSED,11139,15935,22.4697,7.1306
3539,395,DRB1,GoTaq,PASSED,14960,16504,4.4581,7.6154
2209,396,DRB1,GoTaq,PASSED,14066,15935,10.8195,11.4665
2512,397,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
1229,400,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
5227,402,DRB1,GoTaq,PASSED,13822,18943,15.7097,1.8931
5001,404,DRB1,GoTaq,PASSED,12196,15204,4.3167,1.9284
4753,407,DRB1,GoTaq,PASSED,12033,14879,11.7871,7.453
3479,408,DRB1,GoTaq,PASSED,16098,No second peak,11.756,No second peak
3044,410,DRB1,GoTaq,PASSED,14797,No second peak,26.7547,No second peak
4834,412,DRB1,GoTaq,PASSED,11708,14960,15.0131,7.02
4773,413,DRB1,GoTaq,PASSED,12440,15935,8.9233,5.7179
4437,416,DRB1,GoTaq,PASSED,11139,15854,29.5745,13.6331
2999,422,DRB1,GoTaq,PASSED,11871,16911,20.3237,3.9556
5729,429,DRB1,GoTaq,PASSED,13141,14546,0.7464,14.3971
3331,431,DRB1,GoTaq,PASSED,14050,18926,20.7966,2.3959
2395,433,DRB1,GoTaq,PASSED,10579,14546,25.0635,15.6322
2350,437,DRB1,GoTaq,PASSED,14298,No second peak,14.2578,No second peak
2511,441,DRB1,GoTaq,PASSED,11406,14629,22.4905,18.6598
2188,444,DRB1,GoTaq,PASSED,12563,15703,0.4036,1.1447
821,446,DRB1,GoTaq,PASSED,11158,14298,23.25,12.6695
5535,449,DRB1,GoTaq,PASSED,10001,13306,49.395,28.7477
2164,367,DRB1,GoTaq,PASSED,11819,16612,31.5555,7.9418
4479,380,DRB1,GoTaq,PASSED,11488,16447,14.9848,1.6607
4491,393,DRB1,GoTaq,PASSED,12315,15538,10.4187,2.4369
2284,395,DRB1,GoTaq,PASSED,11902,14298,0.7118,36.8147
2513,396,DRB1,GoTaq,PASSED,11323,15124,26.0862,14.4537
5195,397,DRB1,GoTaq,PASSED,11571,16695,19.437,7.9686
2088,400,DRB1,GoTaq,PASSED,14716,No second peak,25.7792,No second peak
4703,402,DRB1,GoTaq,PASSED,11383,15691,11.9861,6.0708
1961,404,DRB1,GoTaq,PASSED,12196,16017,0.1817,9.3558
1983,407,DRB1,GoTaq,PASSED,14879,19187,16.0217,1.1471
4543,408,DRB1,GoTaq,PASSED,11952,14635,10.8762,7.6419
5585,410,DRB1,GoTaq,PASSED,11871,14472,0.3871,18.5458
4463,412,DRB1,GoTaq,PASSED,11627,16504,20.9759,3.9626
5085,413,DRB1,GoTaq,PASSED,16423,No second peak,1.9355,No second peak
2039,416,DRB1,GoTaq,PASSED,10733,15691,30.3546,12.8547
5086,422,DRB1,GoTaq,PASSED,11464,13822,0.6717,28.611
5122,4,DRB1,GoTaq,PASSED,13190,No second peak,2.8699,No second peak
1877,14,DRB1,GoTaq,PASSED,11294,15000,16.9442,12.1234
4465,18,DRB1,GoTaq,PASSED,12242,15776,0.5585,14.0243
2966,21,DRB1,GoTaq,PASSED,9600,16983,0.5026,0.5746
4492,23,DRB1,GoTaq,PASSED,11725,15259,12.8661,3.7596
2186,29,DRB1,GoTaq,PASSED,14052,15862,0.3813,5.9441
5644,32,DRB1,GoTaq,PASSED,10432,14139,0.2679,22.7423
5383,39,DRB1,GoTaq,PASSED,11639,16207,16.4901,9.8941
5225,44,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
5738,54,DRB1,GoTaq,PASSED,12415,15862,0.7082,20.9008
3432,55,DRB1,GoTaq,PASSED,11035,14828,21.8054,17.6259
2969,60,DRB1,GoTaq,PASSED,12932,17069,3.802,2.4287
2330,66,DRB1,GoTaq,PASSED,12587,16983,11.4517,7.0525
5466,71,DRB1,GoTaq,PASSED,11897,16466,6.3928,3.8394
5595,82,DRB1,GoTaq,PASSED,16293,No second peak,4.5603,No second peak
2622,85,DRB1,GoTaq,PASSED,11811,13708,0.682,17.4323
5191,88,DRB1,GoTaq,PASSED,12759,15862,4.3827,0.717
5665,90,DRB1,GoTaq,PASSED,15862,17586,0.9624,1.3145
5655,91,DRB1,GoTaq,PASSED,14052,16121,0.4084,2.6395
3283,103,DRB1,GoTaq,PASSED,12242,14656,0.6707,23.9657
3334,107,DRB1,GoTaq,PASSED,13277,17500,2.9113,2.7876
3417,112,DRB1,GoTaq,PASSED,12846,15345,4.6768,4.3106
5564,113,DRB1,GoTaq,PASSED,10863,14139,0.7356,14.7475
5592,120,DRB1,GoTaq,PASSED,12156,16983,13.4662,3.7533
5487,125,DRB1,GoTaq,PASSED,10691,14914,0.2431,14.8506
5391,129,DRB1,GoTaq,PASSED,13190,No second peak,1.0993,No second peak
3181,143,DRB1,GoTaq,PASSED,11897,16983,16.9323,2.3392
5656,148,DRB1,GoTaq,PASSED,9200,14311,2.8009,17.8872
3322,149,DRB1,GoTaq,PASSED,9500,15862,0.1858,1.6699
5737,172,DRB1,GoTaq,PASSED,12587,16121,0.6648,12.6616
3373,175,DRB1,GoTaq,PASSED,12759,16811,0.2657,6.8119
5467,185,DRB1,GoTaq,PASSED,12846,16035,6.6501,1.5677
2067,187,DRB1,GoTaq,PASSED,13948,No second peak,17.4756,No second peak
3333,188,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
4795,201,DRB1,GoTaq,PASSED,11054,16404,20.4939,3.1606
4659,209,DRB1,GoTaq,PASSED,12018,17193,15.6026,3.8951
3285,214,DRB1,GoTaq,PASSED,12194,16141,0.5947,11.1897
5387,218,DRB1,GoTaq,PASSED,14387,15878,7.3608,14.9265
2016,233,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
5425,245,DRB1,GoTaq,PASSED,11931,16755,19.0478,4.5734
5563,249,DRB1,GoTaq,PASSED,15965,No second peak,1.1,No second peak
4528,252,DRB1,GoTaq,PASSED,12545,16492,5.2768,3.5643
2389,259,DRB1,GoTaq,PASSED,11843,14211,0.6707,25.4153
5732,264,DRB1,GoTaq,PASSED,10352,13860,0.342,33.6797
3399,307,DRB1,GoTaq,PASSED,12281,16930,12.6972,6.1857
5396,313,DRB1,GoTaq,PASSED,15790,No second peak,0.9454,No second peak
1972,349,DRB1,GoTaq,PASSED,12106,14299,0.1746,12.0104
5468,364,DRB1,GoTaq,PASSED,12194,15000,9.8433,7.3422
2396,367,DRB1,GoTaq,PASSED,11054,14913,25.6848,14.576
5119,380,DRB1,GoTaq,PASSED,10440,15790,40.2693,12.6375
5606,393,DRB1,GoTaq,PASSED,13597,15351,10.2135,13.3354
5711,395,DRB1,GoTaq,PASSED,11492,17106,17.8855,3.3847
2949,396,DRB1,GoTaq,PASSED,15790,No second peak,3.0227,No second peak
5426,397,DRB1,GoTaq,PASSED,11054,16141,27.6439,7.4718
1034,400,DRB1,GoTaq,PASSED,10966,15088,23.3076,18.005
5395,402,DRB1,GoTaq,PASSED,10790,14387,0.1728,12.4383
5876,404,DRB1,GoTaq,PASSED,11668,14913,13.4728,4.7879
4796,407,DRB1,GoTaq,PASSED,10089,15088,39.9686,18.5611
437,408,DRB1,GoTaq,PASSED,11229,16492,21.1101,4.3369
5196,410,DRB1,GoTaq,PASSED,11755,No second peak,3.4398,No second peak
2943,412,DRB1,GoTaq,PASSED,10527,15878,36.7259,11.4555
3276,413,DRB1,GoTaq,PASSED,11492,16316,19.5094,10.6517
3282,416,DRB1,GoTaq,PASSED,11492,14737,17.9152,16.5972
5537,422,DRB1,GoTaq,PASSED,13773,No second peak,18.6311,No second peak
3346,429,DRB1,GoTaq,PASSED,11984,14311,0.2147,10.1957
5643,431,DRB1,GoTaq,PASSED,14311,No second peak,20.5623,No second peak
5366,433,DRB1,GoTaq,PASSED,11725,15690,3.2746,2.0755
5120,437,DRB1,GoTaq,PASSED,10432,15604,29.8976,11.5919
3892,441,DRB1,GoTaq,PASSED,10087,15259,39.2587,16.3541
5237,444,DRB1,GoTaq,PASSED,15087,No second peak,8.9058,No second peak
2510,446,DRB1,GoTaq,PASSED,12328,15259,11.4012,5.7683
1437,449,DRB1,GoTaq,PASSED,11897,14914,1.3828,21.1191
5369,187,DRB1,GoTaq,PASSED,12194,15088,9.2465,5.1291
2996,188,DRB1,GoTaq,PASSED,16404,No second peak,2.3021,No second peak
5305,201,DRB1,GoTaq,PASSED,10790,14650,21.1453,5.8654
5671,209,DRB1,GoTaq,PASSED,13422,No second peak,25.6816,No second peak
5514,214,DRB1,GoTaq,PASSED,11755,14211,0.737,25.7844
992,218,DRB1,GoTaq,PASSED,11755,15264,21.1737,6.545
3015,233,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
2210,245,DRB1,GoTaq,PASSED,12457,No second peak,50.444,No second peak
1795,249,DRB1,GoTaq,FAILED,FAILED,FAILED,FAILED,FAILED
5996,252,DRB1,GoTaq,PASSED,10346,14052,0.1846,18.9789
1114,259,DRB1,GoTaq,PASSED,12070,17155,11.3153,3.5859
3013,264,DRB1,GoTaq,PASSED,12156,No second peak,22.7401,No second peak
2864,307,DRB1,GoTaq,PASSED,12415,15949,8.4848,4.6616
1648,313,DRB1,GoTaq,PASSED,13104,No second peak,0.8342,No second peak
5292,349,DRB1,GoTaq,PASSED,11580,14123,18.342,19.817
5077,364,DRB1,GoTaq,PASSED,12632,16053,7.3223,4.8964
2966,4,DRB1,Verifi,PASSED,15280,No second peak,2.7437,No second peak
2186,14,DRB1,Verifi,PASSED,15680,No second peak,9.7711,No second peak
5225,18,DRB1,Verifi,PASSED,11441,15120,23.7693,5.2808
5595,21,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
5191,23,DRB1,Verifi,PASSED,13001,15462,9.3465,6.963
5665,29,DRB1,Verifi,PASSED,16231,No second peak,0.3794,No second peak
5655,32,DRB1,Verifi,PASSED,16308,No second peak,13.8029,No second peak
3334,39,DRB1,Verifi,PASSED,12693,16770,14.421,0.8964
3417,44,DRB1,Verifi,PASSED,12081,14641,9.4424,7.8911
5391,54,DRB1,Verifi,PASSED,12241,14801,9.6377,9.057
3373,55,DRB1,Verifi,PASSED,15120,No second peak,4.3495,No second peak
5467,60,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
2067,66,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
3333,71,DRB1,Verifi,PASSED,12770,No second peak,17.8299,No second peak
2016,82,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
5563,85,DRB1,Verifi,PASSED,15154,No second peak,14.1223,No second peak
4528,88,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
5396,90,DRB1,Verifi,PASSED,9762,14081,0.5481,23.1559
2949,91,DRB1,Verifi,PASSED,10401,15920,0.489,6.5758
5196,103,DRB1,Verifi,PASSED,11041,No second peak,41.3126,No second peak
3346,107,DRB1,Verifi,PASSED,15308,No second peak,9.1114,No second peak
5366,112,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
3015,113,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1795,120,DRB1,Verifi,PASSED,12232,16693,26.2525,10.236
1648,125,DRB1,Verifi,PASSED,12561,No second peak,4.6103,No second peak
1513,129,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
5536,143,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
4810,148,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
1435,149,DRB1,Verifi,PASSED,11693,16462,42.0738,12.6019
1862,172,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
4329,175,DRB1,Verifi,PASSED,14847,No second peak,21.624,No second peak
4689,185,DRB1,Verifi,PASSED,14693,No second peak,22.2986,No second peak
1472,187,DRB1,Verifi,FAILED,FAILED,FAILED,FAILED,FAILED
3855,188,DRB1,Verifi,PASSED,12081,15280,10.0768,3.8577
